                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0808,                 4.6732,                 4.2798,                0.00086,                0.23788,                0.00165,                0.00066,                 2.7613,                 4.9871,                 4.1576,               6.67e-05,               6.67e-05,               6.67e-05
                      2,                 3.0041,                 4.6541,                 4.2282,                0.00085,                0.35606,                  0.003,                0.00105,                 2.7578,                 4.9877,                  4.153,             0.00013868,             0.00013868,             0.00013868
                      3,                 3.0673,                 4.5969,                 4.1864,                0.00156,                0.34394,                 0.0047,                0.00175,                 2.7489,                 4.9862,                   4.14,             0.00020921,             0.00020921,             0.00020921
                      4,                 3.0749,                 4.5928,                 4.1574,                0.00108,                0.38636,                0.02995,                0.01231,                 2.7319,                 4.9771,                 4.1187,             0.00027829,             0.00027829,             0.00027829
                      5,                  3.055,                 4.5708,                 4.1234,                0.00109,                   0.35,                 0.0316,                0.00958,                 2.7069,                 4.9618,                 4.0851,             0.00034592,             0.00034592,             0.00034592
                      6,                 3.0683,                 4.4637,                 4.0923,                0.00088,                0.41364,                0.01112,                0.00335,                 2.7078,                 4.9539,                 4.0675,             0.00041209,             0.00041209,             0.00041209
                      7,                 3.0182,                 4.4412,                 4.0453,                0.00186,                0.37374,                0.00581,                0.00224,                 2.7327,                 5.0116,                 3.9835,             0.00047681,             0.00047681,             0.00047681
                      8,                 3.0565,                 4.4105,                 3.9873,                0.00069,                0.40152,                0.00564,                 0.0021,                  2.693,                 4.9889,                 3.9542,             0.00054008,             0.00054008,             0.00054008
                      9,                 3.0169,                 4.2614,                 3.8829,                0.00082,                0.37879,                0.00464,                0.00185,                 2.6985,                 5.2964,                 3.8505,             0.00060189,             0.00060189,             0.00060189
                     10,                 3.0399,                 4.1758,                 3.8365,                0.36552,                0.18939,                0.00844,                0.00312,                 2.7429,                 5.2869,                 3.9657,             0.00060757,             0.00060757,             0.00060757
                     11,                 2.9104,                 4.1943,                 3.7576,                0.36533,                0.11364,                0.00452,                0.00155,                 2.7907,                 42.815,                 3.6564,             0.00060097,             0.00060097,             0.00060097
                     12,                 3.0092,                 4.1126,                  3.708,                0.00764,                0.43838,                0.01259,                0.00526,                  2.651,                 43.943,                 3.7093,             0.00059436,             0.00059436,             0.00059436
                     13,                 3.0001,                 4.1188,                 3.6664,                0.55405,                0.19545,                 0.0376,                0.01144,                 2.5742,                 12.221,                 3.6559,             0.00058776,             0.00058776,             0.00058776
                     14,                 2.8668,                 4.1683,                 3.6283,                0.00551,                0.58333,                0.04966,                0.01542,                  2.649,                 11.663,                 3.4506,             0.00058116,             0.00058116,             0.00058116
                     15,                  2.861,                  4.013,                 3.5498,                0.66313,                0.03788,                0.04654,                0.01491,                 2.6492,                 7.8147,                 3.4304,             0.00057455,             0.00057455,             0.00057455
                     16,                 2.9514,                 4.0581,                  3.535,                0.47913,                0.21263,                 0.0565,                0.01795,                 2.5999,                 7.5689,                 3.4889,             0.00056795,             0.00056795,             0.00056795
                     17,                 2.8052,                 3.9849,                 3.4743,                0.56442,                0.19192,                0.05444,                0.02271,                 2.5545,                 7.2897,                 3.4638,             0.00056135,             0.00056135,             0.00056135
                     18,                 2.7528,                 3.8871,                 3.3651,                0.82255,                 0.0202,                0.01682,                 0.0064,                 2.5446,                 8.3429,                 3.5479,             0.00055474,             0.00055474,             0.00055474
                     19,                 2.8331,                 3.8813,                 3.4069,                0.64354,                0.02273,                 0.0148,                 0.0037,                 2.5496,                 4.8863,                  3.634,             0.00054814,             0.00054814,             0.00054814
                     20,                  2.747,                 3.8402,                 3.3264,                0.59131,                0.13586,                0.08062,                0.03294,                  2.478,                 4.6333,                 3.5276,             0.00054154,             0.00054154,             0.00054154
                     21,                 2.7095,                 3.7808,                  3.246,                0.90728,                0.06313,                0.11566,                0.04717,                 2.4675,                 4.5353,                 3.4218,             0.00053493,             0.00053493,             0.00053493
                     22,                 2.6935,                 3.8153,                  3.265,                0.67799,                0.14141,                0.07851,                0.02732,                 2.4354,                 4.6443,                 3.3834,             0.00052833,             0.00052833,             0.00052833
                     23,                 2.5764,                 3.7936,                 3.2078,                0.60784,                0.15859,                0.13734,                 0.0584,                 2.4012,                 4.7124,                  3.346,             0.00052173,             0.00052173,             0.00052173
                     24,                 2.6033,                 3.7901,                 3.1884,                0.95457,                0.03636,                0.10086,                0.04309,                  2.348,                 5.1709,                 3.3811,             0.00051512,             0.00051512,             0.00051512
                     25,                 2.5669,                 3.7546,                  3.122,                0.35554,                0.15354,                0.08529,                0.03928,                 2.2214,                 4.5373,                  3.272,             0.00050852,             0.00050852,             0.00050852
                     26,                 2.5197,                 3.7616,                 3.1589,                0.99699,                 0.0202,                0.08356,                0.04235,                 2.2676,                 4.3167,                 3.2758,             0.00050192,             0.00050192,             0.00050192
                     27,                 2.4888,                 3.6734,                 3.1042,                0.65686,                 0.1202,                0.16031,                0.08144,                 2.2322,                 4.4063,                 3.1994,             0.00049531,             0.00049531,             0.00049531
                     28,                 2.3971,                 3.6339,                 3.0452,                0.48206,                 0.1884,                0.12365,                0.05686,                 2.1938,                 5.0572,                 3.0456,             0.00048871,             0.00048871,             0.00048871
                     29,                 2.4806,                 3.5979,                  3.044,                0.68052,                0.15606,                0.12501,                0.06583,                 2.1438,                 5.1841,                 2.9931,             0.00048211,             0.00048211,             0.00048211
                     30,                 2.3397,                  3.685,                 2.9797,                0.50341,                0.20152,                0.11405,                0.06002,                 2.0753,                 4.8275,                 2.9449,              0.0004755,              0.0004755,              0.0004755
                     31,                 2.3983,                 3.6122,                 2.9983,                0.51536,                0.18761,                0.12258,                0.06246,                 2.1286,                 4.3813,                 2.9354,              0.0004689,              0.0004689,              0.0004689
                     32,                 2.4487,                 3.6349,                 2.9621,                0.63141,                0.16667,                0.17117,                0.09774,                 2.1753,                 4.2446,                 3.0828,              0.0004623,              0.0004623,              0.0004623
                     33,                  2.345,                 3.5257,                 2.8966,                0.74328,                0.16061,                0.16572,                0.08853,                 2.1527,                 4.1119,                 3.0652,             0.00045569,             0.00045569,             0.00045569
                     34,                 2.2544,                 3.5864,                 2.9283,                0.36295,                0.15978,                0.13663,                0.06784,                 2.0858,                 4.2449,                 2.9939,             0.00044909,             0.00044909,             0.00044909
                     35,                  2.309,                 3.4392,                  2.856,                0.96904,                0.09974,                0.17563,                 0.0782,                 2.0875,                 4.3875,                 2.8991,             0.00044249,             0.00044249,             0.00044249
                     36,                 2.2013,                 3.4175,                 2.8301,                0.75469,                0.09799,                0.13534,                0.06374,                 2.1971,                 4.4536,                 2.9721,             0.00043588,             0.00043588,             0.00043588
                     37,                 2.2475,                 3.4334,                 2.8331,                0.38597,                0.19848,                 0.1319,                0.05726,                 2.2039,                 4.4382,                 2.9909,             0.00042928,             0.00042928,             0.00042928
                     38,                 2.1505,                 3.3689,                 2.7813,                0.81267,                0.10505,                0.16229,                 0.0809,                 2.1265,                 4.1125,                 2.9987,             0.00042268,             0.00042268,             0.00042268
                     39,                  2.187,                 3.3312,                 2.7773,                0.92034,                0.08687,                0.17014,                0.08173,                 1.9613,                 4.0802,                 2.8668,             0.00041607,             0.00041607,             0.00041607
                     40,                 2.1388,                 3.4039,                 2.7349,                0.45928,                0.21818,                0.21244,                0.10735,                 1.9796,                 3.9985,                 2.8295,             0.00040947,             0.00040947,             0.00040947
                     41,                 2.0828,                  3.283,                  2.711,                0.64575,                0.17911,                0.22286,                0.11349,                 1.9485,                 3.8327,                 2.7886,             0.00040287,             0.00040287,             0.00040287
                     42,                 2.1186,                 3.3028,                 2.6589,                0.56436,                0.29783,                 0.2111,                0.10622,                 1.9426,                 3.9307,                 2.8251,             0.00039626,             0.00039626,             0.00039626
                     43,                 2.0937,                 3.2861,                 2.6871,                0.83443,                0.13945,                0.24351,                0.11315,                 1.9007,                 4.1135,                 2.8032,             0.00038966,             0.00038966,             0.00038966
                     44,                 2.0976,                 3.2035,                  2.658,                0.60233,                 0.2298,                0.23912,                0.10824,                 1.8992,                 4.1989,                 2.7557,             0.00038306,             0.00038306,             0.00038306
