                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.60204,                0.44154,                0.95558,                      1,                0.99322,                  0.995,                 0.8347,                0.62619,                0.48868,                 1.0111,               0.001307,               0.001307,               0.001307
                     37,                 0.5936,                0.43976,                0.96284,                0.99098,                0.94737,                 0.9863,                0.84829,                 0.6179,                0.52688,                 1.0116,              0.0012872,              0.0012872,              0.0012872
                     38,                0.59241,                0.44885,                0.92892,                0.94975,                0.99495,                 0.9925,                0.82824,                0.66012,                0.51064,                  1.029,              0.0012674,              0.0012674,              0.0012674
                     39,                0.62199,                0.46322,                 0.9547,                0.94744,                      1,                 0.9925,                0.87892,                0.54834,                0.46834,                 0.9743,              0.0012476,              0.0012476,              0.0012476
                     40,                0.52644,                0.41382,                0.87497,                 0.9467,                      1,                 0.9925,                0.87916,                0.54676,                0.47858,                0.97634,              0.0012278,              0.0012278,              0.0012278
                     41,                0.56589,                0.42404,                0.92497,                0.94665,                      1,                 0.9925,                0.87425,                0.53806,                0.46188,                0.93805,               0.001208,               0.001208,               0.001208
                     42,                 0.5698,                0.44315,                 0.9479,                0.94439,                      1,                 0.9925,                0.86402,                0.59471,                0.46216,                0.99109,              0.0011882,              0.0011882,              0.0011882
                     43,                0.54969,                0.40527,                 0.9391,                0.99645,                      1,                  0.995,                0.77254,                0.82196,                0.50012,                 1.1007,              0.0011684,              0.0011684,              0.0011684
                     44,                0.57662,                0.43946,                0.93831,                      1,                0.99457,                  0.995,                0.86098,                0.59224,                0.39332,                 1.0059,              0.0011486,              0.0011486,              0.0011486
                     45,                0.53434,                0.41563,                0.92523,                0.99336,                      1,                  0.995,                0.85982,                0.58761,                0.45876,                0.98268,              0.0011288,              0.0011288,              0.0011288
                     46,                0.53308,                0.40431,                0.91006,                      1,                0.99632,                  0.995,                0.82985,                0.69687,                0.47609,                 1.0202,               0.001109,               0.001109,               0.001109
                     47,                0.54536,                0.40521,                0.94363,                0.94978,                0.99561,                 0.9925,                0.83508,                0.65087,                0.45384,                0.98228,              0.0010892,              0.0010892,              0.0010892
                     48,                0.51632,                0.40899,                0.87179,                0.94363,                      1,                 0.9925,                 0.8515,                0.62148,                0.41223,                0.97452,              0.0010694,              0.0010694,              0.0010694
                     49,                0.57206,                0.41771,                0.94592,                0.99832,                      1,                  0.995,                0.88559,                0.57232,                0.40998,                0.95662,              0.0010496,              0.0010496,              0.0010496
                     50,                0.59443,                0.41539,                0.96415,                      1,                0.99708,                  0.995,                0.87859,                0.56117,                 0.4098,                0.97588,              0.0010298,              0.0010298,              0.0010298
                     51,                0.51217,                0.38423,                0.90951,                0.99329,                0.94737,                0.99024,                0.87636,                0.54467,                0.44878,                0.97091,                0.00101,                0.00101,                0.00101
                     52,                0.51122,                0.38986,                0.87296,                      1,                0.99803,                  0.995,                0.85759,                0.59991,                0.40626,                 0.9902,              0.0009902,              0.0009902,              0.0009902
                     53,                0.53054,                0.40235,                0.91081,                0.99701,                      1,                  0.995,                 0.8887,                0.50669,                0.39242,                0.95903,              0.0009704,              0.0009704,              0.0009704
                     54,                0.54335,                0.38041,                0.92684,                 0.9934,                      1,                  0.995,                0.85659,                0.59835,                0.39409,                0.98124,              0.0009506,              0.0009506,              0.0009506
                     55,                0.54956,                0.38387,                 0.9232,                      1,                0.99563,                  0.995,                0.88462,                0.53992,                0.40894,                0.99141,              0.0009308,              0.0009308,              0.0009308
                     56,                0.53505,                0.37621,                0.91607,                0.99439,                      1,                  0.995,                 0.8786,                0.56218,                0.39231,                0.99503,               0.000911,               0.000911,               0.000911
                     57,                0.53138,                0.39195,                0.93297,                0.99646,                      1,                  0.995,                0.87189,                0.52319,                 0.3674,                0.95705,              0.0008912,              0.0008912,              0.0008912
                     58,                0.53323,                0.39436,                0.92752,                0.99629,                      1,                  0.995,                0.86874,                0.53018,                0.37685,                0.93395,              0.0008714,              0.0008714,              0.0008714
                     59,                0.48768,                0.35133,                0.90834,                0.98887,                      1,                  0.995,                0.87366,                0.58307,                0.41026,                 0.9685,              0.0008516,              0.0008516,              0.0008516
                     60,                0.51466,                 0.3654,                0.92061,                0.99619,                      1,                  0.995,                 0.8627,                0.59755,                0.38881,                0.95657,              0.0008318,              0.0008318,              0.0008318
                     61,                0.43729,                0.54241,                0.84034,                0.99059,                      1,                  0.995,                0.88108,                0.56327,                0.37455,                0.93876,               0.000812,               0.000812,               0.000812
                     62,                0.46504,                 0.4207,                0.84892,                0.99177,                      1,                  0.995,                0.90242,                0.51883,                0.34632,                0.93217,              0.0007922,              0.0007922,              0.0007922
                     63,                0.48175,                0.34668,                0.89846,                0.99658,                      1,                  0.995,                0.86979,                0.49374,                0.32981,                0.94816,              0.0007724,              0.0007724,              0.0007724
                     64,                0.48047,                0.34447,                 0.9084,                0.99699,                      1,                  0.995,                0.88099,                 0.5259,                0.33235,                0.96446,              0.0007526,              0.0007526,              0.0007526
                     65,                0.47305,                0.34899,                0.90869,                 0.9968,                      1,                  0.995,                 0.8998,                0.53489,                0.34394,                  0.982,              0.0007328,              0.0007328,              0.0007328
                     66,                0.48418,                0.34775,                0.92059,                0.99711,                      1,                  0.995,                0.89317,                0.50567,                0.32692,                0.95226,               0.000713,               0.000713,               0.000713
                     67,                0.42955,                 0.4057,                0.83522,                0.99703,                      1,                  0.995,                 0.8973,                0.49356,                0.35185,                0.93691,              0.0006932,              0.0006932,              0.0006932
                     68,                 0.4764,                 0.3384,                0.90527,                0.99704,                      1,                  0.995,                0.88807,                0.53004,                0.33618,                0.95327,              0.0006734,              0.0006734,              0.0006734
                     69,                0.43113,                0.32756,                0.88763,                 0.9926,                      1,                  0.995,                0.87242,                0.52347,                0.33521,                0.95449,              0.0006536,              0.0006536,              0.0006536
                     70,                0.44495,                0.33541,                0.89301,                0.99024,                      1,                  0.995,                0.86992,                0.56765,                0.38127,                0.95742,              0.0006338,              0.0006338,              0.0006338
                     71,                 0.4728,                0.33829,                0.88914,                0.99517,                      1,                  0.995,                0.87947,                0.47811,                0.32954,                 0.9484,               0.000614,               0.000614,               0.000614
                     72,                0.44595,                0.32544,                0.88673,                0.99655,                      1,                  0.995,                0.91572,                0.44608,                0.32301,                0.91074,              0.0005942,              0.0005942,              0.0005942
                     73,                0.45434,                 0.3536,                0.91345,                0.99767,                      1,                  0.995,                0.88536,                  0.527,                0.31987,                0.94748,              0.0005744,              0.0005744,              0.0005744
                     74,                0.45402,                0.33396,                0.90276,                0.99825,                      1,                  0.995,                0.88951,                0.54313,                0.32133,                0.95828,              0.0005546,              0.0005546,              0.0005546
                     75,                0.42615,                0.32578,                0.87589,                0.99731,                      1,                  0.995,                0.88246,                0.53935,                0.30594,                0.95993,              0.0005348,              0.0005348,              0.0005348
                     76,                0.41416,                0.70984,                0.84864,                  0.997,                      1,                  0.995,                 0.8831,                0.55405,                0.31438,                0.98024,               0.000515,               0.000515,               0.000515
                     77,                0.44458,                0.34871,                0.91113,                0.99693,                      1,                  0.995,                0.87915,                0.56341,                0.33516,                 0.9908,              0.0004952,              0.0004952,              0.0004952
                     78,                0.40685,                0.30379,                0.88705,                0.99686,                      1,                  0.995,                0.87502,                0.57984,                 0.3344,                0.97094,              0.0004754,              0.0004754,              0.0004754
                     79,                0.44049,                0.30799,                0.88965,                0.99607,                      1,                  0.995,                0.86382,                0.57936,                0.34112,                0.96355,              0.0004556,              0.0004556,              0.0004556
                     80,                0.40694,                0.30531,                0.89542,                0.99713,                      1,                  0.995,                0.87149,                0.60746,                0.32918,                 1.0096,              0.0004358,              0.0004358,              0.0004358
                     81,                0.40641,                0.31045,                0.86377,                0.99708,                      1,                  0.995,                0.88531,                0.55663,                 0.3185,                0.95487,               0.000416,               0.000416,               0.000416
                     82,                0.41078,                0.31495,                0.91972,                0.99726,                      1,                  0.995,                0.87611,                0.53906,                0.28642,                0.94825,              0.0003962,              0.0003962,              0.0003962
                     83,                0.40804,                 0.3059,                0.86188,                0.99729,                      1,                  0.995,                0.86577,                 0.5707,                0.32099,                0.94876,              0.0003764,              0.0003764,              0.0003764
                     84,                 0.3928,                 0.3048,                0.89982,                0.99714,                      1,                  0.995,                0.88964,                0.49517,                0.29469,                0.92437,              0.0003566,              0.0003566,              0.0003566
                     85,                0.40009,                0.29552,                0.87461,                0.99703,                      1,                  0.995,                0.89841,                0.48877,                 0.2955,                 0.9237,              0.0003368,              0.0003368,              0.0003368
                     86,                 0.4236,                 0.2997,                0.88504,                0.99692,                      1,                  0.995,                0.89271,                0.50345,                0.29387,                0.93717,               0.000317,               0.000317,               0.000317
                     87,                 0.3756,                0.27652,                0.87151,                0.99712,                      1,                  0.995,                0.88201,                 0.5199,                0.28314,                0.94465,              0.0002972,              0.0002972,              0.0002972
                     88,                0.40462,                0.28668,                 0.8892,                0.99728,                      1,                  0.995,                0.88505,                0.53426,                0.29154,                0.95745,              0.0002774,              0.0002774,              0.0002774
                     89,                0.33546,                0.49726,                0.80442,                0.99734,                      1,                  0.995,                0.88467,                0.54033,                0.29041,                0.94869,              0.0002576,              0.0002576,              0.0002576
                     90,                0.36763,                0.28759,                0.88235,                0.99735,                      1,                  0.995,                0.89775,                 0.5177,                0.26523,                0.94008,              0.0002378,              0.0002378,              0.0002378
                     91,                0.30736,                0.23958,                0.82358,                0.99727,                      1,                  0.995,                0.90463,                0.51926,                0.27936,                0.92802,               0.000218,               0.000218,               0.000218
                     92,                0.30358,                0.24061,                0.80628,                0.99702,                      1,                  0.995,                0.89486,                0.51737,                0.27605,                 0.9233,              0.0001982,              0.0001982,              0.0001982
                     93,                0.28341,                 0.2345,                0.81903,                 0.9969,                      1,                  0.995,                0.89738,                0.53776,                0.27767,                 0.9339,              0.0001784,              0.0001784,              0.0001784
                     94,                0.29772,                0.23633,                0.82443,                 0.9968,                      1,                  0.995,                0.89369,                0.52596,                0.28335,                0.92798,              0.0001586,              0.0001586,              0.0001586
                     95,                0.26971,                0.22227,                 0.8058,                0.99727,                      1,                  0.995,                0.91583,                0.48236,                0.28796,                0.92182,              0.0001388,              0.0001388,              0.0001388
                     96,                0.30432,                0.23674,                0.83726,                0.99737,                      1,                  0.995,                0.91634,                0.48413,                0.29404,                0.93398,               0.000119,               0.000119,               0.000119
                     97,                0.27212,                0.21321,                0.82582,                0.99743,                      1,                  0.995,                0.91376,                0.49943,                0.28719,                0.94034,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.29961,                0.23102,                0.82442,                 0.9974,                      1,                  0.995,                0.91796,                0.50599,                0.27236,                0.92791,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.26909,                 0.2212,                0.81055,                0.99742,                      1,                  0.995,                0.91842,                 0.5057,                0.27125,                0.92792,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.26679,                0.21434,                 0.7864,                0.99749,                      1,                  0.995,                0.91082,                0.50385,                0.26791,                0.92993,               3.98e-05,               3.98e-05,               3.98e-05
