                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0993,                 4.7111,                 4.2533,                0.00086,                0.30597,                0.00174,                0.00057,                 2.6403,                 4.7203,                 4.1573,              8.671e-05,              8.671e-05,              8.671e-05
                      2,                 3.0328,                 4.6386,                 4.2067,                0.00132,                 0.3817,                0.00558,                0.00155,                 2.6362,                  4.719,                 4.1494,             0.00017831,             0.00017831,             0.00017831
                      3,                 3.0191,                 4.5632,                 4.1819,                0.00107,                0.38128,                0.01136,                 0.0028,                 2.6228,                 4.7117,                 4.1276,             0.00026806,             0.00026806,             0.00026806
                      4,                 3.0885,                 4.5799,                 4.1249,                0.00101,                0.40369,                0.02788,                0.00852,                 2.5988,                 4.7032,                 4.0817,             0.00035595,             0.00035595,             0.00035595
                      5,                 3.0772,                 4.4861,                 4.0948,                0.00631,                0.39037,                0.01174,                0.00395,                 2.5956,                 4.6973,                 4.0599,               0.000442,               0.000442,               0.000442
                      6,                 3.0111,                 4.4008,                  4.026,                0.00109,                0.42196,                0.00546,                0.00202,                 2.5753,                 4.7346,                 3.9688,             0.00052621,             0.00052621,             0.00052621
                      7,                 3.0585,                 4.3258,                 3.9356,                0.00113,                0.41595,                0.00507,                0.00171,                 2.5819,                 5.0062,                 3.8591,             0.00060856,             0.00060856,             0.00060856
                      8,                 3.0833,                 4.3137,                 3.8619,                0.36609,                0.26254,                0.00484,                0.00158,                 2.6095,                 5.4745,                 3.7694,             0.00062078,             0.00062078,             0.00062078
                      9,                 3.0528,                 4.1293,                 3.7589,                0.00212,                0.45643,                0.00656,                0.00182,                 2.6292,                 5.3621,                 3.6559,             0.00061417,             0.00061417,             0.00061417
                     10,                 2.9123,                 4.0853,                 3.6562,                0.02802,                0.33323,                0.01787,                0.00457,                 2.7343,                 33.591,                 3.6343,             0.00060757,             0.00060757,             0.00060757
                     11,                 2.9564,                 4.1104,                 3.6128,                0.47586,                0.20209,                0.03171,                0.01038,                 2.5332,                 9.9516,                 3.4829,             0.00060097,             0.00060097,             0.00060097
                     12,                 2.9221,                 4.0219,                  3.538,                 0.3028,                0.21966,                0.03712,                0.01451,                 2.4671,                 5.8997,                  3.367,             0.00059436,             0.00059436,             0.00059436
                     13,                 2.8314,                 4.0018,                 3.4565,                0.49619,                0.26497,                 0.0718,                0.02802,                 2.4773,                 5.3112,                  3.476,             0.00058776,             0.00058776,             0.00058776
                     14,                 2.9066,                 3.9544,                 3.4721,                0.48345,                0.21358,                0.08008,                0.02731,                 2.4429,                 4.7406,                 3.3523,             0.00058116,             0.00058116,             0.00058116
                     15,                 2.8193,                 3.9568,                 3.3781,                0.35846,                0.26446,                0.04646,                0.01823,                 2.3434,                 5.1257,                 3.3032,             0.00057455,             0.00057455,             0.00057455
                     16,                 2.7409,                 3.8599,                 3.3061,                0.22778,                0.15113,                0.06813,                0.02334,                 2.2854,                 4.2507,                 3.2818,             0.00056795,             0.00056795,             0.00056795
                     17,                 2.7046,                 3.8728,                 3.3202,                0.37252,                0.16711,                0.09565,                0.03155,                 2.3686,                 4.1205,                 3.2355,             0.00056135,             0.00056135,             0.00056135
                     18,                 2.6711,                 3.8667,                 3.2368,                0.60764,                0.11833,                 0.0802,                0.03238,                 2.3334,                 4.0035,                  3.284,             0.00055474,             0.00055474,             0.00055474
                     19,                 2.6389,                 3.8159,                 3.2022,                0.40583,                0.10179,                 0.0767,                 0.0276,                 2.2955,                 3.9032,                 3.2735,             0.00054814,             0.00054814,             0.00054814
                     20,                 2.5943,                 3.7673,                 3.1742,                0.41052,                0.13475,                0.11106,                0.04603,                 2.2996,                 3.8747,                 3.3095,             0.00054154,             0.00054154,             0.00054154
