                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 2.1536,                 3.4031,                 2.7246,                0.43166,                0.20632,                 0.1598,                0.06969,                 1.9529,                 3.6236,                   2.74,             0.00044909,             0.00044909,             0.00044909
                     35,                  2.097,                  3.393,                 2.6625,                0.41816,                0.15375,                0.16905,                0.08127,                 1.9178,                  3.646,                 2.6696,             0.00044249,             0.00044249,             0.00044249
                     36,                 2.1389,                 3.3081,                 2.6714,                0.46586,                0.34191,                0.23216,                0.11848,                 1.8155,                 3.5911,                 2.5909,             0.00043588,             0.00043588,             0.00043588
                     37,                  2.069,                 3.3284,                 2.6483,                0.47004,                0.27211,                0.22475,                0.11834,                 1.8142,                 3.5074,                 2.6055,             0.00042928,             0.00042928,             0.00042928
                     38,                  1.994,                 3.2631,                 2.6261,                 0.4185,                0.31401,                0.25264,                 0.1361,                 1.7431,                  3.451,                 2.5315,             0.00042268,             0.00042268,             0.00042268
                     39,                 1.9956,                 3.2339,                 2.5486,                0.54867,                0.32088,                0.29484,                0.16419,                  1.731,                 3.3815,                  2.506,             0.00041607,             0.00041607,             0.00041607
                     40,                 1.9143,                 3.2354,                 2.5223,                 0.3733,                0.32685,                0.26344,                0.14976,                 1.7259,                 3.4834,                 2.4928,             0.00040947,             0.00040947,             0.00040947
                     41,                 1.9437,                  3.157,                 2.4815,                0.33993,                0.34793,                0.26336,                0.14364,                 1.6809,                 3.2521,                 2.4631,             0.00040287,             0.00040287,             0.00040287
                     42,                 1.8909,                 3.0879,                 2.4758,                0.57911,                0.28112,                0.25713,                0.14108,                 1.6966,                 3.1931,                 2.5201,             0.00039626,             0.00039626,             0.00039626
                     43,                 1.9567,                 3.2095,                 2.5092,                0.55211,                0.32248,                0.27464,                0.14746,                 1.7365,                 3.2733,                  2.505,             0.00038966,             0.00038966,             0.00038966
                     44,                 1.9124,                 3.1597,                 2.4859,                0.38323,                0.34976,                0.27265,                0.15436,                 1.6761,                 3.2148,                 2.4177,             0.00038306,             0.00038306,             0.00038306
                     45,                 1.8853,                 3.0652,                  2.464,                0.43229,                 0.3358,                0.27666,                0.16039,                 1.6551,                 3.2513,                 2.4363,             0.00037645,             0.00037645,             0.00037645
                     46,                 1.8146,                 3.0686,                 2.3995,                 0.4742,                0.36114,                0.30005,                0.16085,                 1.6232,                 3.1642,                 2.3989,             0.00036985,             0.00036985,             0.00036985
                     47,                 1.8381,                 2.9937,                 2.4047,                0.36744,                0.32119,                0.26123,                0.14995,                 1.6249,                 3.1602,                 2.4213,             0.00036325,             0.00036325,             0.00036325
                     48,                 1.7957,                 3.0084,                 2.3888,                 0.4854,                0.36534,                0.34618,                0.20671,                 1.6219,                 3.1452,                 2.3728,             0.00035664,             0.00035664,             0.00035664
                     49,                 1.7521,                 2.9617,                 2.3333,                0.55014,                0.33881,                0.33657,                0.20133,                  1.565,                  3.093,                 2.3164,             0.00035004,             0.00035004,             0.00035004
                     50,                  1.747,                 3.0372,                 2.3301,                0.37299,                0.37815,                0.30339,                0.18875,                 1.5179,                 2.9961,                 2.2724,             0.00034344,             0.00034344,             0.00034344
